TOP:      DFC:      TB:      DB:
24        5702      
45        1807      -3664     14233
132       4700      -3664     34314
33        8029      -1832     61887
39        6302      -1832     00000
424       4955      -3664     13324
104       1808      -3664     00000
73        7088      -3664     43958
128       4826      -1832     00000
88        555       -1832     33252
71        5843      -3435      39520
213       0680      -687      81717
62        0000      -459      03394
45        981       -916      85809
8         3208      -458      28830
49        8865      -458      77634
28        6489      -458      87555
15        1388      -458     03394
21        7558      -1832      08514
10        7243      -458      77634
14        003       -458      25769
186       8222      -458      53705
19        0292      -458      81717
56        0307      -687      38882
36        5384      -229      4035
16        4563      -916      50732
145       0771      -458     17651
6         0517      -1374      17651
5         3083      -916      74951
12        5630      -916      26697
18        325       -458      87555
48        763       -458      77634
441       0563      -458      87555
740       3753      -458      28830
882       9214      -916      22632
946       1595      -916      00000
77        7977      -458      72543
127       4858      -458      28070
659       3054      -458      28070
710       1751      -458     88220
532       7822      -1832      84180
778       0486      -458      73828
595       3325      -458      78549
848       0329      -458      28070
880       0318      -458      85437
897       3046      -687      13483
971       4740      -229      2885
774       5170      -916      90295
889       7248      -458     81717
795       5116      -1374      81717
530       6654      -916      99103
667       0000      -916      00000
836       0000      -458      73828
834       3097      -458      53705
870       8544      -458      78549
861       4702      -458      83807
785       6914      -916      15424
808       1627      -458      85437
836       0680      -459      53705
797       0152      -916      38083
840       9605      -458      85437
846       2776      -458      28830
821       7592      -916      49307
817       0660      -458      28070
839       124       -458      03394
805       0000      -916      00000
822       0883      -458      72543
762       0680      -458      28070
805       211       -916      10388
791       0081      -916      20795
430       7877      -916      48206
838       7822      -916      50732
798       2497      -916      66467
794       981       -916      64160
